model,mode,form,difficulty,count,main_metric,count_within1_acc,segment_f1@0.5,mean_best_tIoU,bbox_acc@50iou,self_temporal_loc_f1@0.5,self_temporal_loc_mean_tIoU
Qwen/Qwen3.5-122B-A10B-Instant,single-landmark,self_atomic_instance_recognition,2-3,0,,,,,,,
Qwen/Qwen3.5-122B-A10B-Instant,single-landmark,self_atomic_instance_recognition,4-5,0,,,,,,,
Qwen/Qwen3.5-122B-A10B-Instant,single-landmark,self_atomic_instance_recognition,6+,0,,,,,,,
Qwen/Qwen3.5-122B-A10B-Instant,single-landmark,env_visibility_reasoning,easy,463,0.39956803455723544,0.978401727861771,0.45687174065887376,0.5455049335073713,,,
Qwen/Qwen3.5-122B-A10B-Instant,single-landmark,env_visibility_reasoning,medium,549,0.5664845173041895,0.7978142076502732,0.4806838322984954,0.46687704554394366,,,
Qwen/Qwen3.5-122B-A10B-Instant,single-landmark,env_visibility_reasoning,hard,12,0.0,0.0,0.015659955257270694,0.045103204628976844,,,
Qwen/Qwen3.5-122B-A10B-Instant,single-landmark,env_visibility_reasoning,1,0,,,,,,,
Qwen/Qwen3.5-122B-A10B-Instant,single-landmark,env_visibility_reasoning,2-3,0,,,,,,,
Qwen/Qwen3.5-122B-A10B-Instant,single-landmark,env_visibility_reasoning,4-5,0,,,,,,,
Qwen/Qwen3.5-122B-A10B-Instant,single-landmark,env_visibility_reasoning,6+,0,,,,,,,
Qwen/Qwen3.5-122B-A10B-Instant,multi-landmark,self_composite_instance_recognition,easy,0,,,,,,,
Qwen/Qwen3.5-122B-A10B-Instant,multi-landmark,self_composite_instance_recognition,medium,0,,,,,,,
Qwen/Qwen3.5-122B-A10B-Instant,multi-landmark,self_composite_instance_recognition,hard,0,,,,,,,
Qwen/Qwen3.5-122B-A10B-Instant,multi-landmark,self_composite_instance_recognition,1,0,,,,,,,
Qwen/Qwen3.5-122B-A10B-Instant,multi-landmark,self_composite_instance_recognition,2-3,0,,,,,,,
Qwen/Qwen3.5-122B-A10B-Instant,multi-landmark,self_composite_instance_recognition,4-5,0,,,,,,,
Qwen/Qwen3.5-122B-A10B-Instant,multi-landmark,self_composite_instance_recognition,6+,0,,,,,,,
Qwen/Qwen3.5-122B-A10B-Instant,multi-landmark,self_atomic_instance_recognition,easy,0,,,,,,,
Qwen/Qwen3.5-122B-A10B-Instant,multi-landmark,self_atomic_instance_recognition,medium,0,,,,,,,
Qwen/Qwen3.5-122B-A10B-Instant,multi-landmark,self_atomic_instance_recognition,hard,0,,,,,,,
Qwen/Qwen3.5-122B-A10B-Instant,multi-landmark,self_atomic_instance_recognition,1,0,,,,,,,
Qwen/Qwen3.5-122B-A10B-Instant,multi-landmark,self_atomic_instance_recognition,2-3,0,,,,,,,
Qwen/Qwen3.5-122B-A10B-Instant,multi-landmark,self_atomic_instance_recognition,4-5,0,,,,,,,
Qwen/Qwen3.5-122B-A10B-Instant,multi-landmark,self_atomic_instance_recognition,6+,0,,,,,,,
Qwen/Qwen3.5-122B-A10B-Instant,multi-landmark,env_visibility_reasoning,easy,0,,,,,,,
Qwen/Qwen3.5-122B-A10B-Instant,multi-landmark,env_visibility_reasoning,medium,0,,,,,,,
Qwen/Qwen3.5-122B-A10B-Instant,multi-landmark,env_visibility_reasoning,hard,0,,,,,,,
Qwen/Qwen3.5-122B-A10B-Instant,multi-landmark,env_visibility_reasoning,1,0,,,,,,,
Qwen/Qwen3.5-122B-A10B-Instant,multi-landmark,env_visibility_reasoning,2-3,0,,,,,,,
Qwen/Qwen3.5-122B-A10B-Instant,multi-landmark,env_visibility_reasoning,4-5,0,,,,,,,
