model,view_definition,task_type,difficulty,count,option_accuracy,bbox_acc@50iou,bbox_mean_iou
internvl3.5-241b-a28b-Instant,Environment-Aware,env_how,4way,512,0.4609375,0.048828125,0.14300758331057856
internvl3.5-241b-a28b-Instant,Environment-Aware,env_how,8way,512,0.375,0.052734375,0.15661989452067135
moonshotai/kimi-k2.5-Instant,Self-Aware,self_where,4way,512,0.345703125,0.24609375,0.2752142067903788
moonshotai/kimi-k2.5-Instant,Self-Aware,self_where,8way,512,0.33984375,0.294921875,0.33284387053010345
moonshotai/kimi-k2.5-Instant,Self-Aware,self_what,4way,512,0.294921875,0.12890625,0.20154452970211956
moonshotai/kimi-k2.5-Instant,Self-Aware,self_what,8way,512,0.359375,0.171875,0.2329994158105648
moonshotai/kimi-k2.5-Instant,Environment-Aware,env_where,4way,512,0.416015625,0.056640625,0.1509244740656643
moonshotai/kimi-k2.5-Instant,Environment-Aware,env_where,8way,512,0.37109375,0.04296875,0.16017540595431165
moonshotai/kimi-k2.5-Instant,Environment-Aware,env_how,4way,512,0.30078125,0.044921875,0.1368794011289659
moonshotai/kimi-k2.5-Instant,Environment-Aware,env_how,8way,512,0.30078125,0.048828125,0.15025119379674148
openai/gpt-5.3-chat,Self-Aware,self_where,4way,512,0.345703125,0.091796875,0.21706655071812864
openai/gpt-5.3-chat,Self-Aware,self_where,8way,512,0.357421875,0.146484375,0.25248235727576
openai/gpt-5.3-chat,Self-Aware,self_what,4way,512,0.326171875,0.1171875,0.23754513837482602
openai/gpt-5.3-chat,Self-Aware,self_what,8way,512,0.419921875,0.130859375,0.2660195469182098
openai/gpt-5.3-chat,Environment-Aware,env_where,4way,512,0.533203125,0.134765625,0.20707318199291436
openai/gpt-5.3-chat,Environment-Aware,env_where,8way,512,0.59765625,0.1640625,0.24327943729396176
openai/gpt-5.3-chat,Environment-Aware,env_how,4way,512,0.6015625,0.126953125,0.20835956136905331
openai/gpt-5.3-chat,Environment-Aware,env_how,8way,512,0.64453125,0.181640625,0.2406478077550508
qwen3.5-flash-Instant,Self-Aware,self_where,4way,512,0.255859375,0.19140625,0.2879469883533447
qwen3.5-flash-Instant,Self-Aware,self_where,8way,512,0.30078125,0.240234375,0.3084804297791449
qwen3.5-flash-Instant,Self-Aware,self_what,4way,512,0.275390625,0.130859375,0.21289575639858077
qwen3.5-flash-Instant,Self-Aware,self_what,8way,512,0.302734375,0.1875,0.2524366191447759
qwen3.5-flash-Instant,Environment-Aware,env_where,4way,512,0.4921875,0.083984375,0.18321544116422975
qwen3.5-flash-Instant,Environment-Aware,env_where,8way,512,0.556640625,0.091796875,0.20396598476428116
qwen3.5-flash-Instant,Environment-Aware,env_how,4way,512,0.458984375,0.08203125,0.18440161176889114
qwen3.5-flash-Instant,Environment-Aware,env_how,8way,512,0.630859375,0.095703125,0.21675291142656802
qwen3.5-plus-Instant,Self-Aware,self_where,4way,512,0.25390625,0.2109375,0.25783201293912655
qwen3.5-plus-Instant,Self-Aware,self_where,8way,512,0.318359375,0.216796875,0.28375525693891923
qwen3.5-plus-Instant,Self-Aware,self_what,4way,512,0.298828125,0.109375,0.21561312868749055
